id,feature0,feature1,feature2,feature3,feature4,feature5,feature6,feature7,feature8,feature9,feature10,feature11,feature12,feature13,feature14,feature15,feature16,feature17,feature18,feature19,label
000000005038,.02166,.03727,-.09242,-.33399,-.99715,-.88048,.06359,.23938,.88899,-.50019,-.83885,-.85020,.78033,.74386,.93257,.85206,.96754,.81882,.79962,.85705,0
000000006590,.32526,-.52869,-.24622,.58966,-.65954,-.06314,.30733,-.28149,-.78749,.65254,.30766,.91849,.78637,.92473,.81358,.91085,.70044,.58814,.74907,.39402,0
000000013267,.00033,-.00244,-.19318,-.13743,-.97452,-.98164,-.00403,-.05834,.02378,-.06459,-.99988,-.99839,.72997,.75295,.88391,.90516,.94545,.95806,.91093,.90510,1
000000013921,-.03146,.09445,-.32772,-.29923,.87556,.67693,.02597,-.15294,.25172,.00042,-.99890,-.96231,.81183,.78583,.88997,.86383,.94587,.97767,.67627,.93001,1
000000013943,-.01430,.06934,-.42631,-.12156,-.65095,-.99281,.00107,-.00181,-.04980,.20353,-.99997,-.99658,.64182,.60408,.80989,.86561,.95346,.93119,.89446,.92026,1
000000014533,.82076,-.83535,-.06136,-.96824,-.99507,-.80488,.09697,-.09665,-1.00000,.80069,-.51492,-.35920,-.19617,.94681,-.91541,.83783,-.86600,.68101,.70587,.50912,0
000000018359,.15514,-.18333,-.21705,-.49760,-.78098,-.29585,-.06362,.08863,-.94994,.95598,-.77254,-.95932,.64297,.79818,.79550,.88060,.73689,.99464,.74916,.89396,0
000000022811,.15764,-.15504,-.44384,-.52625,-.81920,-.80837,-.05401,-.07613,-.43584,.14539,-.88947,-.99792,.74078,.83547,.78174,.88546,.68017,.95503,.50098,.90005,0
000000025990,-.04751,.00196,-.99337,-.48228,-.19946,.91614,.25476,-.33240,-.96035,.91255,-.54395,-.40352,.74321,.69724,.36477,.78597,-.34048,.83378,-.92614,.88229,0
000000026132,.12110,-.07707,-.77773,.02105,-.25114,.99041,-.02344,.02534,-.02431,.21458,-.97225,-.99885,.67338,.73960,.59149,.95860,.86407,.80742,.85736,-.11749,1
000000027221,-.30210,.34087,.20747,-.16138,.93020,-.98656,-.01639,.01493,.91291,-.87104,-.40490,-.47749,.76514,.48658,.99965,.75991,.94615,.82173,.01217,.89397,0
000000029080,.31611,-.25359,.02045,-.22306,-.51485,.78509,.20257,-.02559,-.76316,-.99961,.66106,.14554,.51958,.79097,.81362,.95348,.99260,.99378,.99612,.88456,0
000000030193,-.03316,.03309,-.05110,-.25042,-.43322,-.13678,-.00034,.00079,-.72309,-.72841,-.74305,-.44483,.71848,.69531,.91335,.85097,.99976,.96713,1.00000,.92995,0
000000030852,-.00775,-.06595,-.44966,-.64538,-.88982,.86979,-.00047,.00234,-.64043,-.62902,-.59186,-.63949,.73623,.78151,.82228,.79350,.77412,.60114,.70226,-.01744,0
000000031902,-.95122,.97932,-.39677,-.66251,-.94171,.89296,-.11837,.21415,-.03278,.04138,-.99783,-.85036,.97239,-.95710,.93064,-.72270,.77855,-.95384,.90678,-.59750,1
000000032513,.27246,-.26956,.89550,-.57751,-.67057,.30461,-.00882,.07165,-.10057,-.00507,-.99894,-.99484,.74022,.87969,.97464,.91092,.70041,.70056,.15586,.15647,1
000000035313,.24389,-.32997,-.38805,.06394,-.24611,-.15055,.16747,-.23036,-.58340,.71615,-.42798,-.23055,.75898,.89439,.78151,.99997,.85595,.87523,.94664,.96656,0
